relationship_id,source_company,source_segment,target_company,target_segment,relationship_type,relationship_direction,relationship_claim,evidence_ids,source_urls,confidence,limitations,record_id,data_as_of,first_seen_at,last_verified_at,event_date,event_start_at,event_end_at,time_precision,temporal_basis,source_publish_dates,source_retrieved_dates,current_validity,claim_nature,primary_evidence_id,evidence_grade_summary,verification_method,needs_refresh_after,risk_note
R4-001,Arm,上游/设计支撑/EDA/IP/半导体IP/芯片定制,Apple,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,IP授权,Arm -> Apple,Arm 向 Apple 提供处理器架构/IP授权，支撑 Apple 自研 SoC 生态。,E4-001;E4-002;E4-003;E4-174,https://www.tomshardware.com/news/apple-inks-new-long-term-arm-license-agreement-till-2040 | https://www.macrumors.com/2023/09/06/apple-inks-new-deal-arm-chip-designer | https://siliconangle.com/2024/10/23/arm-moves-cancel-qualcomms-instruction-set-architecture-license | https://www.sec.gov/Archives/edgar/data/1973239/000119312523212406/d451946df1.htm,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-001,2026-07-08,2026-07-08,2026-07-06,,,,unknown,检索快照,2023-08-21,2026-07-05;2026-07-06,当前支持,事实判断,E4-001,A:1;B-:3,公开资料检索,2026-10-08,
R4-002,Arm,上游/设计支撑/EDA/IP/半导体IP/芯片定制,Qualcomm,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,IP授权,Arm -> Qualcomm,Arm 向 Qualcomm 提供处理器架构/IP授权，支撑移动 SoC 产品。,E4-004;E4-005;E4-006;E4-007;E4-008;E4-009,https://www.rcrwireless.com/20251001/business/qualcomm-arm-2 | https://www.bloomberg.com/news/articles/2024-10-23/arm-to-cancel-qualcomm-chip-design-license-in-escalation-of-feud | https://siliconangle.com/2024/10/23/arm-moves-cancel-qualcomms-instruction-set-architecture-license | https://investor.qualcomm.com/news-events/press-releases/news-details/2025/Qualcomm-Achieves-Complete-Victory-Over-Arm-in-Litigation-Challenging-Licensing-Agreements/default.aspx | https://images.law.com/contrib/content/uploads/documents/394/11978/Arm-v-Qualcomm.Arm-complaint-1.pdf | https://newsletter.semianalysis.com/p/arm-changes-business-model-oem-partners,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-002,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-004,A:1;A-:1;B-:4,公开资料检索,2026-10-08,
R4-003,Arm,上游/设计支撑/EDA/IP/半导体IP/芯片定制,MediaTek,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,IP授权,Arm -> MediaTek,Arm 向 MediaTek 提供处理器架构/IP授权，支撑移动 SoC 产品。,E4-010;E4-011;E4-012;E4-013,https://www.design-reuse.com/news/202521575-mediatek-and-arm-extend-relationship-with-access-agreement-for-a-broad-range-of-the-latest-arm-ip | https://www.mediatek.com/press-room/mediatek-extends-partnership-with-arm-to-drive-next-generation-mobile-and-consumer-technology | https://iies.in/blog/the-role-of-arm-processors-in-mediateks-success | https://www.reuters.com/business/qualcomm-shifts-chips-newer-arm-tech-competition-with-apple-mediatek-heats-up-2025-10-01,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-003,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-010,A:1;A-:1;B-:2,公开资料检索,2026-10-08,
R4-004,Synopsys,上游/设计支撑/EDA/IP/EDA软件,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,EDA/IP供应,Synopsys -> NVIDIA,Synopsys 的 EDA/IP 工具链服务于 NVIDIA 等高性能芯片设计场景，属于设计工具链支撑关系。,E4-014;E4-015;E4-016;E4-017;E4-018;E4-019;E4-020,https://anysilicon.com/news/nvidia-invests-2-billion-in-synopsys-to-accelerate-next-generation-chip-design-and-ai-driven-engineering | https://semiwiki.com/eda/synopsys/363148-synopsys-and-nvidia-forge-ai-powered-future-for-chip-design-and-multiphysics-simulation | https://www.tomshardware.com/tech-industry/semiconductors/nvidias-2bn-synopsys-stake-strengthens-its-push-into-ai-accelerated-chip-design | https://www.synopsys.com/ai/ai-powered-eda.html | https://techarena.ai/content/synopsys-accelerates-ai-innovation-with-microsoft-nvidia | https://semiwiki.com/forum/threads/synopsys-accelerates-chip-design-with-nvidia-grace-blackwell-and-ai-to-speed-electronic-design-automation.22357,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-004,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-014,A:2;B-:5,公开资料检索,2026-10-08,
R4-005,Cadence,上游/设计支撑/EDA/IP/EDA软件,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,EDA/IP供应,Cadence -> NVIDIA,Cadence 的 EDA/系统设计工具链服务于 NVIDIA 等高性能芯片设计场景，属于设计工具链支撑关系。,E4-021;E4-022;E4-023;E4-024;E4-025,https://www.cadence.com/en_US/home/company/newsroom/press-releases/pr/2026/cadence-and-nvidia-expand-partnership-to-reinvent-engineering.html | https://www.cadence.com/en_US/home/company/newsroom/press-releases/pr/2026/cadence-and-nvidia-unveil-accelerated-engineering-solutions.html | https://www.forbes.com/sites/karlfreund/2026/06/01/cadence-and-nvidia-team-to-develop-first--fully-autonomous-eda-agent | https://blogs.nvidia.com/blog/semiconductor-industry-electronic-design-automation-blackwell-cuda-x | https://www.cadence.com/en_US/home.html,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-005,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-021,A:4;B-:1,公开资料检索,2026-10-08,
R4-006,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,晶圆代工,TSMC -> NVIDIA,TSMC 为 NVIDIA 高端 GPU/AI 芯片提供晶圆制造或先进制程代工能力。,E4-026;E4-027;E4-028;E4-029;E4-030;E4-031,https://pr.tsmc.com/english/news/1227 | https://nvidianews.nvidia.com/news/nvidia-and-tsmc-bring-ai-into-fabs-to-advance-semiconductor-design-and-manufacturing | https://blogs.nvidia.com/blog/tsmc-blackwell-manufacturing | https://finance.yahoo.com/sectors/technology/articles/tsmc-expands-nvidia-ai-technologies-094131097.html | https://nvidianews.nvidia.com/news/nvidia-asml-tsmc-and-synopsys-set-foundation-for-next-generation-chip-manufacturing | https://nvidianews.nvidia.com/_gallery/download_pdf/67d9bf5b3d6332b0a6d11f0e,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-006,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-026,A:5;B-:1,公开资料检索,2026-10-08,
R4-007,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,AMD,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,晶圆代工,TSMC -> AMD,TSMC 为 AMD CPU/GPU/AI 芯片提供晶圆制造或先进制程代工能力。,E4-032;E4-033;E4-034,https://www.club386.com/amd-eyes-up-tsmc-over-samsung-foundry-for-4nm-epyc-cpus | https://meet-global.bnext.com.tw/articles/view/47591 | https://ir.amd.com/financial-information/sec-filings/content/0000950131-95-000530/EX-10_37.txt,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-007,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-032,A:1;B:1;B-:1,公开资料检索,2026-10-08,
R4-008,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,Apple,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,晶圆代工,TSMC -> Apple,TSMC 为 Apple 自研 SoC 提供晶圆制造或先进制程代工能力。,E4-035;E4-036;E4-037;E4-038,https://newsletter.semianalysis.com/p/apple-tsmc-the-partnership-that-built | https://www.aztechcouncil.org/apple-chips-tsmc-fab | https://www.apple.com/newsroom/2023/11/apple-announces-expanded-partnership-with-amkor-for-silicon-packaging | https://www.apple.com/newsroom/2025/08/apple-increases-us-commitment-to-600-billion-usd-announces-ambitious-program,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-008,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-035,A:2;B-:2,公开资料检索,2026-10-08,
R4-009,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,Qualcomm,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,晶圆代工,TSMC -> Qualcomm,TSMC 为 Qualcomm 移动 SoC 提供晶圆制造或先进制程代工能力。,E4-039;E4-040;E4-041;E4-042;E4-043;E4-044;E4-045,https://pr.tsmc.com/english/news/1597 | https://www.qualcomm.com/news/releases/2007/11/qualcomm-makes-first-call-chips-using-tsmcs-45-nm-technology | https://www.phonearena.com/news/rumor-has-tsmc-losing-2nm-business-to-samsung-foundry_id166292 | https://www.cnbc.com/2025/03/04/qualcomm-ceo-welcomes-tsmc-100-billion-investment-in-us-chipmaking.html | https://www.design-reuse.com/news/5415-tsmc-to-start-making-qualcomm-snapdragon-chips-in-4q18-says-report | https://www.sdxcentral.com/news/apple-qualcomm-to-launch-2nm-chips-in-2026-with-tsmc,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-009,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-039,A:3;A-:1;B-:3,公开资料检索,2026-10-08,
R4-010,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,MediaTek,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,晶圆代工,TSMC -> MediaTek,TSMC 为 MediaTek 移动 SoC 提供晶圆制造或先进制程代工能力。,E4-046;E4-047;E4-048;E4-049,https://www.trendforce.com/news/2026/05/29/news-mediatek-ceo-reaffirms-tsmc-as-key-long-term-partner-amid-samsungs-reported-push-for-foundry-orders | https://finance.yahoo.com/news/mediatek-taps-taiwan-semiconductor-manufacturing-180201511.html | https://www.mediatek.com/press-room/mediatek-develops-chip-utilizing-tsmcs-2nm-process-achieving-milestones-in-performance-andpower-efficiency | https://www.design-reuse.com/news/12620-intel-to-manufacture-mediatek-edge-chips-instead-of-tsmc,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-010,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-046,A:1;A-:1;B-:2,公开资料检索,2026-10-08,
