l1,l2,l3,l4_name,l4_code,subsegment_role,source_value_chain_layer,source_major_segment,source_subsegment_name,is_focus_scope
上游,设计支撑,EDA/IP,EDA软件,L4-UPSTREAM-EDA软件,芯片设计软件、验证、仿真和全流程设计平台。,上游/设计支撑,EDA/IP,EDA软件,false
上游,设计支撑,EDA/IP,半导体IP/芯片定制,L4-UPSTREAM-半导体IP-芯片定制,可复用IP核、接口IP、处理器IP和芯片定制服务。,上游/设计支撑,EDA/IP,半导体IP/芯片定制,false
中游,设计与产品,芯片设计/Fabless,AI/GPU/CPU算力芯片,L4-MIDSTREAM-AI-COMPUTE-CHIP,AI训练/推理、GPU、CPU、DPU和定制加速芯片。,中游/设计与产品,芯片设计/Fabless,AI/GPU/CPU算力芯片,true
中游,设计与产品,芯片设计/Fabless,手机SoC/通信基带,L4-MIDSTREAM-MOBILE-SOC,移动SoC、蜂窝基带、射频前端和通信处理器。,中游/设计与产品,芯片设计/Fabless,手机SoC/通信基带,true
中游,设计与产品,芯片设计/Fabless,模拟/RF/MCU/传感器,L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR,模拟芯片、射频、MCU、CIS图像传感器等产品。,中游/设计与产品,芯片设计/Fabless,模拟/RF/MCU/传感器,true
中游,制造,晶圆制造/Foundry-IDM,晶圆代工/Foundry,L4-MIDSTREAM-晶圆代工-Foundry,为Fabless客户提供逻辑、成熟制程、特色工艺晶圆制造。,中游/制造,晶圆制造/Foundry-IDM,晶圆代工/Foundry,false
中游,制造,晶圆制造/Foundry-IDM,IDM/特色工艺制造,L4-MIDSTREAM-IDM-特色工艺制造,自有设计与制造一体化，覆盖模拟、功率、汽车和特色工艺。,中游/制造,晶圆制造/Foundry-IDM,IDM/特色工艺制造,false
上游,制造支撑,半导体设备,光刻设备,L4-UPSTREAM-光刻设备,光刻机、涂胶显影及图形化关键设备。,上游/制造支撑,半导体设备,光刻设备,false
上游,制造支撑,半导体设备,刻蚀设备,L4-UPSTREAM-刻蚀设备,等离子刻蚀、介质刻蚀、硅刻蚀和深硅刻蚀设备。,上游/制造支撑,半导体设备,刻蚀设备,false
上游,制造支撑,半导体设备,薄膜沉积设备,L4-UPSTREAM-薄膜沉积设备,PVD、CVD、ALD、外延等薄膜工艺设备。,上游/制造支撑,半导体设备,薄膜沉积设备,false
上游,制造支撑,半导体设备,清洗/CMP/热处理设备,L4-UPSTREAM-清洗-CMP-热处理设备,清洗、CMP抛光、热处理和相关晶圆制程设备。,上游/制造支撑,半导体设备,清洗/CMP/热处理设备,false
上游,制造支撑,半导体设备,量测检测设备,L4-UPSTREAM-量测检测设备,缺陷检测、薄膜量测、CD量测和过程控制设备。,上游/制造支撑,半导体设备,量测检测设备,false
上游,制造支撑,半导体设备,测试设备,L4-UPSTREAM-测试设备,SoC、存储、模拟和功率器件测试机及分选设备。,上游/制造支撑,半导体设备,测试设备,false
