segment_name,company_name,region,aliases,leader_type,evidence_ids,confidence,limitations
EDA/IP,华大九天,国内,华大九天;Empyrean,龙头候选,E2-001;E2-002;E2-003;E2-004;E2-005;E2-006;E2-011,medium,候选池阶段，未完成财报/份额硬核验。
EDA/IP,广立微,国内,广立微;Semitronix,龙头候选,E2-002;E2-003;E2-004;E2-005,medium,候选池阶段，未完成财报/份额硬核验。
EDA/IP,概伦电子,国内,概伦电子;Primarius,龙头候选,E2-001;E2-002;E2-003;E2-004;E2-005;E2-006;E2-011,medium,候选池阶段，未完成财报/份额硬核验。
EDA/IP,芯原股份,国内,芯原;VeriSilicon,龙头候选,E2-001;E2-002;E2-006;E2-008;E2-009;E2-010;E2-011,medium,候选池阶段，未完成财报/份额硬核验。
EDA/IP,芯和半导体,国内,芯和半导体;Xpeedic,龙头候选,E2-007,medium,候选池阶段，未完成财报/份额硬核验。
EDA/IP,Arm,海外,Arm;ARM,龙头候选,E2-018;E2-020,medium,候选池阶段，未完成财报/份额硬核验。
EDA/IP,Cadence,海外,Cadence;楷登,龙头候选,E2-012;E2-013;E2-015;E2-017;E2-018,medium,候选池阶段，未完成财报/份额硬核验。
EDA/IP,Siemens EDA,海外,Siemens EDA;Mentor Graphics,龙头候选,E2-012,medium,候选池阶段，未完成财报/份额硬核验。
EDA/IP,Synopsys,海外,Synopsys;新思,龙头候选,E2-001;E2-011;E2-012;E2-013;E2-015;E2-018,medium,候选池阶段，未完成财报/份额硬核验。
传统封装测试/OSAT,华天科技,国内,华天科技;Huatian,龙头候选,E2-142;E2-143;E2-144;E2-145;E2-146;E2-149;E2-150;E2-151;E2-152;E2-153,medium,候选池阶段，未完成财报/份额硬核验。
传统封装测试/OSAT,晶方科技,国内,晶方科技,龙头候选,E2-142;E2-143;E2-144;E2-149;E2-151;E2-153,medium,候选池阶段，未完成财报/份额硬核验。
传统封装测试/OSAT,通富微电,国内,通富微电;TFME,龙头候选,E2-142;E2-143;E2-144;E2-145;E2-146;E2-147;E2-149;E2-150;E2-151;E2-153;E2-160,medium,候选池阶段，未完成财报/份额硬核验。
传统封装测试/OSAT,长电科技,国内,长电科技;JCET,龙头候选,E2-142;E2-143;E2-144;E2-145;E2-146;E2-148;E2-149;E2-150;E2-151;E2-152;E2-153;E2-154;E2-155;E2-160;E2-161,medium,候选池阶段，未完成财报/份额硬核验。
传统封装测试/OSAT,ASE,海外,ASE;日月光,龙头候选,E2-154;E2-155;E2-158;E2-160;E2-161;E2-162,medium,候选池阶段，未完成财报/份额硬核验。
传统封装测试/OSAT,Amkor,海外,Amkor,龙头候选,E2-154;E2-155;E2-158;E2-159;E2-160;E2-161;E2-162;E2-164;E2-165,medium,候选池阶段，未完成财报/份额硬核验。
传统封装测试/OSAT,Powertech,海外,Powertech;PTI;力成,龙头候选,E2-155;E2-161,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,华天科技,国内,华天科技;Huatian,龙头候选,E2-118;E2-119;E2-120;E2-121;E2-122;E2-123;E2-124;E2-127;E2-129,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,甬矽电子,国内,甬矽电子,龙头候选,E2-118;E2-120;E2-123;E2-124;E2-127,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,盛合晶微,国内,盛合晶微,龙头候选,E2-120;E2-123;E2-125;E2-126;E2-127;E2-128,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,通富微电,国内,通富微电;TFME,龙头候选,E2-118;E2-119;E2-120;E2-121;E2-122;E2-123;E2-124;E2-127;E2-129,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,长电科技,国内,长电科技;JCET,龙头候选,E2-118;E2-119;E2-120;E2-121;E2-122;E2-123;E2-124;E2-127;E2-129;E2-133;E2-135;E2-139,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,ASE,海外,ASE;日月光,龙头候选,E2-121;E2-129;E2-132;E2-133;E2-134;E2-135;E2-139,medium,候选池阶段，未完成财报/份额硬核验。
