company_name,relationship_status,relationship_type,relationship_basis,evidence_ids,confidence,requires_internal_validation,limitations,asset_tier,record_id,data_as_of,first_seen_at,last_verified_at,event_date,event_start_at,event_end_at,time_precision,temporal_basis,source_publish_dates,source_retrieved_dates,current_validity,claim_nature,primary_evidence_id,evidence_grade_summary,verification_method,needs_refresh_after,risk_note
华为,confirmed_public_relationship,鲲鹏/昇腾生态适配与国产算力方案,公开资料显示神州数码围绕华为鲲鹏、昇腾、国产算力和解决方案生态存在业务关联线索；该关系可作为公开生态适配和方案协同事实入图，但不等同于内部客户关系。,DC-001;DC-M001;DC-S001,high,true,公开资料不证明内部 CRM 客户关系；具体客户资产、项目金额、销售状态需要内部数据确认。,生态伙伴,stage7::华为::confirmed_public_relationship,2026-07-08,2026-07-08,2026-07-08,2020-09-24,2020-09-24,,day,公开报道的产品发布/生态合作日期,2020-09-26,2026-07-08,公开关系当前支持；内部客户关系需验证,事实关系,DC-S001,A:1;A-:1;B:1,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
中兴通讯,needs_internal_validation,通信网络/ICT方案匹配待验证,中兴通讯属于通信设备、数据中心网络和 ICT 基础设施相关公司，与神州数码系统集成和渠道业务存在场景匹配；当前未发现足够强的直接公开关系证据。,DC-002;DC-M005,medium-low,true,公开资料不足以确认直接关系事实；保留为待内部验证。,待验证,stage7::中兴通讯::needs_internal_validation,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,,2026-07-08,需要内部验证,候选分析,DC-002,A:1;B:1,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
浪潮信息,confirmed_public_relationship,AI一体机联合发布与方案协同,神州数码官网新闻显示神州数码联合浪潮信息发布 AI 一体机解决方案，可作为公开联合发布和方案协同关系入图。,DC-003;DC-M002;DC-S002,high,true,公开资料不证明内部客户关系；需内部客户资产或销售线索确认是否可转化为商机。,潜力客户,stage7::浪潮信息::confirmed_public_relationship,2026-07-08,2026-07-08,2026-07-08,2024-12-18,2024-12-18,,day,神州数码官网新闻发布日期,2024-12-18,2026-07-08,公开关系当前支持；内部客户关系需验证,事实关系,DC-S002,A:2;B:1,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
NVIDIA,potential_fit,AI算力生态潜在协同,NVIDIA 是 AI GPU 和加速计算生态核心企业，与神州数码 AI 服务器、数据中心、算力基础设施业务方向高度匹配；当前仅作为业务场景匹配，不画成直接公开关系事实边。,DC-004;DC-M003,medium,true,未发现足够强的神州数码-NVIDIA 直接公开关系证据；只能保留为潜在匹配。,待验证,stage7::NVIDIA::potential_fit,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,,2026-07-08,需要内部验证,候选分析,DC-004,A:1;B:1,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
联想,needs_internal_validation,服务器/终端/ICT匹配待验证,联想覆盖服务器、PC、AI 基础设施和终端系统，与神州数码 ICT 渠道和系统集成业务存在公开业务场景匹配；仍需内部数据确认是否存在具体客户或伙伴关系。,DC-005;DC-M004,medium-low,true,公开资料不足以确认直接合作事实；保留为待内部验证。,待验证,stage7::联想::needs_internal_validation,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,,2026-07-08,需要内部验证,候选分析,DC-005,A:1;B:1,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
沐曦,confirmed_public_relationship,国产芯片品牌引入/电子元器件业务关系,神州数码2025年年度报告摘要披露，公司在国产芯片领域引入或经营沐曦等品牌/业务，可作为公开年报层面的品牌业务关系入图；该关系不等同于内部客户关系、具体订单或当前交易金额。,DC-006,high,true,年报摘要可证明公开披露的品牌/业务线索，但不能证明内部CRM客户、具体项目金额、排他代理或当前订单状态。,生态伙伴,stage7::沐曦::confirmed_public_relationship,2026-07-12,2026-07-12,2026-07-12,2025,,,year,神州数码2025年年度报告摘要披露的报告期业务信息,2026-03-31,2026-07-12,公开年报支持；内部客户/交易关系需验证,事实关系,DC-006,A:1,公开公告/年报摘要核验,2026-10-12,不能把品牌引入或业务增长直接解读为客户资产、订单金额、独家代理或持续交易，需要内部数据确认。
摩尔线程,confirmed_public_relationship,国产芯片品牌引入/电子元器件业务关系,神州数码2025年年度报告摘要披露，公司在国产芯片领域引入或经营摩尔等品牌/业务，可作为公开年报层面的品牌业务关系入图；该关系不等同于内部客户关系、具体订单或当前交易金额。,DC-006,high,true,年报摘要可证明公开披露的品牌/业务线索，但不能证明内部CRM客户、具体项目金额、排他代理或当前订单状态。,生态伙伴,stage7::摩尔线程::confirmed_public_relationship,2026-07-12,2026-07-12,2026-07-12,2025,,,year,神州数码2025年年度报告摘要披露的报告期业务信息,2026-03-31,2026-07-12,公开年报支持；内部客户/交易关系需验证,事实关系,DC-006,A:1,公开公告/年报摘要核验,2026-10-12,不能把品牌引入或业务增长直接解读为客户资产、订单金额、独家代理或持续交易，需要内部数据确认。
壁仞科技,confirmed_public_relationship,国产芯片品牌引入/电子元器件业务关系,神州数码2025年年度报告摘要披露，公司在国产芯片领域引入或经营壁仞等品牌/业务，可作为公开年报层面的品牌业务关系入图；该关系不等同于内部客户关系、具体订单或当前交易金额。,DC-006,high,true,年报摘要可证明公开披露的品牌/业务线索，但不能证明内部CRM客户、具体项目金额、排他代理或当前订单状态。,生态伙伴,stage7::壁仞科技::confirmed_public_relationship,2026-07-12,2026-07-12,2026-07-12,2025,,,year,神州数码2025年年度报告摘要披露的报告期业务信息,2026-03-31,2026-07-12,公开年报支持；内部客户/交易关系需验证,事实关系,DC-006,A:1,公开公告/年报摘要核验,2026-10-12,不能把品牌引入或业务增长直接解读为客户资产、订单金额、独家代理或持续交易，需要内部数据确认。
海思,confirmed_public_relationship,国产芯片/主控品牌引入/电子元器件业务关系,神州数码2025年年度报告摘要披露，公司在国产芯片/主控领域引入或经营海思等品牌/业务，可作为公开年报层面的品牌业务关系入图；该关系不等同于内部客户关系、具体订单或当前交易金额。,DC-006,high,true,年报摘要可证明公开披露的品牌/业务线索，但不能证明内部CRM客户、具体项目金额、排他代理或当前订单状态。,生态伙伴,stage7::海思::confirmed_public_relationship,2026-07-12,2026-07-12,2026-07-12,2025,,,year,神州数码2025年年度报告摘要披露的报告期业务信息,2026-03-31,2026-07-12,公开年报支持；内部客户/交易关系需验证,事实关系,DC-006,A:1,公开公告/年报摘要核验,2026-10-12,不能把品牌引入或业务增长直接解读为客户资产、订单金额、独家代理或持续交易，需要内部数据确认。
Intel,confirmed_public_relationship,主控品牌引入/电子元器件业务关系,神州数码2025年年度报告摘要披露，公司在主控领域引入或经营英特尔等品牌/业务，可作为公开年报层面的品牌业务关系入图；该关系不等同于内部客户关系、具体订单或当前交易金额。,DC-006,high,true,年报摘要可证明公开披露的品牌/业务线索，但不能证明内部CRM客户、具体项目金额、排他代理或当前订单状态。,生态伙伴,stage7::Intel::confirmed_public_relationship,2026-07-12,2026-07-12,2026-07-12,2025,,,year,神州数码2025年年度报告摘要披露的报告期业务信息,2026-03-31,2026-07-12,公开年报支持；内部客户/交易关系需验证,事实关系,DC-006,A:1,公开公告/年报摘要核验,2026-10-12,不能把品牌引入或业务增长直接解读为客户资产、订单金额、独家代理或持续交易，需要内部数据确认。
AMD,confirmed_public_relationship,主控品牌引入/电子元器件业务关系,神州数码2025年年度报告摘要披露，公司在主控领域引入或经营AMD等品牌/业务，可作为公开年报层面的品牌业务关系入图；该关系不等同于内部客户关系、具体订单或当前交易金额。,DC-006,high,true,年报摘要可证明公开披露的品牌/业务线索，但不能证明内部CRM客户、具体项目金额、排他代理或当前订单状态。,生态伙伴,stage7::AMD::confirmed_public_relationship,2026-07-12,2026-07-12,2026-07-12,2025,,,year,神州数码2025年年度报告摘要披露的报告期业务信息,2026-03-31,2026-07-12,公开年报支持；内部客户/交易关系需验证,事实关系,DC-006,A:1,公开公告/年报摘要核验,2026-10-12,不能把品牌引入或业务增长直接解读为客户资产、订单金额、独家代理或持续交易，需要内部数据确认。
飞腾,confirmed_public_relationship,主控品牌引入/电子元器件业务关系,神州数码2025年年度报告摘要披露，公司在主控领域引入或经营飞腾等品牌/业务，可作为公开年报层面的品牌业务关系入图；该关系不等同于内部客户关系、具体订单或当前交易金额。,DC-006,high,true,年报摘要可证明公开披露的品牌/业务线索，但不能证明内部CRM客户、具体项目金额、排他代理或当前订单状态。,生态伙伴,stage7::飞腾::confirmed_public_relationship,2026-07-12,2026-07-12,2026-07-12,2025,,,year,神州数码2025年年度报告摘要披露的报告期业务信息,2026-03-31,2026-07-12,公开年报支持；内部客户/交易关系需验证,事实关系,DC-006,A:1,公开公告/年报摘要核验,2026-10-12,不能把品牌引入或业务增长直接解读为客户资产、订单金额、独家代理或持续交易，需要内部数据确认。
龙芯中科,confirmed_public_relationship,主控品牌引入/电子元器件业务关系,神州数码2025年年度报告摘要披露，公司在主控领域引入或经营龙芯等品牌/业务，可作为公开年报层面的品牌业务关系入图；该关系不等同于内部客户关系、具体订单或当前交易金额。,DC-006,high,true,年报摘要可证明公开披露的品牌/业务线索，但不能证明内部CRM客户、具体项目金额、排他代理或当前订单状态。,生态伙伴,stage7::龙芯中科::confirmed_public_relationship,2026-07-12,2026-07-12,2026-07-12,2025,,,year,神州数码2025年年度报告摘要披露的报告期业务信息,2026-03-31,2026-07-12,公开年报支持；内部客户/交易关系需验证,事实关系,DC-006,A:1,公开公告/年报摘要核验,2026-10-12,不能把品牌引入或业务增长直接解读为客户资产、订单金额、独家代理或持续交易，需要内部数据确认。
