opportunity_id,company_name,product_service_name,l4_code,l4_name,opportunity_name,opportunity_type,opportunity_basis,solution_name,campaign_name,margin_improvement_logic,asset_tier,evidence_ids,confidence,requires_internal_validation,limitations,record_id,data_as_of,first_seen_at,last_verified_at,event_date,event_start_at,event_end_at,time_precision,temporal_basis,source_publish_dates,source_retrieved_dates,current_validity,claim_nature,primary_evidence_id,evidence_grade_summary,verification_method,needs_refresh_after,risk_note
OP::浪潮信息::AI服务器,浪潮信息,AI服务器,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,浪潮信息-AI服务器业务机会,客户/伙伴/生态机会,围绕AI服务器、液冷、存储、网络和云基础设施形成组合方案，优先寻找算力建设和数据中心升级机会。 关系依据：公开资料出现神州数码与浪潮信息围绕 AI 一体机或相关解决方案协同的线索，可作为公开合作/方案协同关系入图。,国产算力与AI基础设施解决方案,AI基础设施重点客户战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,潜力客户,DC-003;DC-M002;E3-664;E3-665;E3-666;E3-667;E3-668;E3-669;E3-670;E3-671;E3-672;E3-673;E3-674;E3-836,medium,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::浪潮信息::AI服务器,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2023-03-29;2024-03-01;2025-01-25;2025-02-19;2026-02-11;2026-03-11;2026-05-11;2026-05-30;2026-06-17,2026-07-05;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-003,A:2;B:8;B-:4,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::浪潮信息::GPU服务器,浪潮信息,GPU服务器,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,浪潮信息-GPU服务器业务机会,客户/伙伴/生态机会,围绕AI服务器、液冷、存储、网络和云基础设施形成组合方案，优先寻找算力建设和数据中心升级机会。 关系依据：公开资料出现神州数码与浪潮信息围绕 AI 一体机或相关解决方案协同的线索，可作为公开合作/方案协同关系入图。,国产算力与AI基础设施解决方案,AI基础设施重点客户战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,潜力客户,DC-003;DC-M002;E3-664;E3-665;E3-666;E3-667;E3-668;E3-669;E3-670;E3-671;E3-672;E3-673;E3-674;E3-836,medium,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::浪潮信息::GPU服务器,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2023-03-29;2024-03-01;2025-01-25;2025-02-19;2026-02-11;2026-03-11;2026-05-11;2026-05-30;2026-06-17,2026-07-05;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-003,A:2;B:8;B-:4,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::浪潮信息::液冷服务器,浪潮信息,液冷服务器,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,浪潮信息-液冷服务器业务机会,客户/伙伴/生态机会,围绕AI服务器、液冷、存储、网络和云基础设施形成组合方案，优先寻找算力建设和数据中心升级机会。 关系依据：公开资料出现神州数码与浪潮信息围绕 AI 一体机或相关解决方案协同的线索，可作为公开合作/方案协同关系入图。,国产算力与AI基础设施解决方案,AI基础设施重点客户战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,潜力客户,DC-003;DC-M002;E3-664;E3-665;E3-666;E3-667;E3-668;E3-669;E3-670;E3-671;E3-672;E3-673;E3-674;E3-836,medium,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::浪潮信息::液冷服务器,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2023-03-29;2024-03-01;2025-01-25;2025-02-19;2026-02-11;2026-03-11;2026-05-11;2026-05-30;2026-06-17,2026-07-05;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-003,A:2;B:8;B-:4,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::浪潮信息::存储设备,浪潮信息,存储设备,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,浪潮信息-存储设备业务机会,客户/伙伴/生态机会,围绕重点企业的产品/服务定位，寻找渠道、集成、生态合作或行业客户机会。 关系依据：公开资料出现神州数码与浪潮信息围绕 AI 一体机或相关解决方案协同的线索，可作为公开合作/方案协同关系入图。,半导体生态协同解决方案,半导体生态伙伴拓展战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,潜力客户,DC-003;DC-M002;E3-664;E3-665;E3-666;E3-667;E3-668;E3-669;E3-670;E3-671;E3-672;E3-673;E3-674;E3-836,medium,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::浪潮信息::存储设备,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2023-03-29;2024-03-01;2025-01-25;2025-02-19;2026-02-11;2026-03-11;2026-05-11;2026-05-30;2026-06-17,2026-07-05;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-003,A:2;B:8;B-:4,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::浪潮信息::AI GPU,浪潮信息,AI GPU,L4-MIDSTREAM-AI-COMPUTE-CHIP,AI/GPU/CPU算力芯片,浪潮信息-AI GPU业务机会,客户/伙伴/生态机会,围绕重点企业的产品/服务定位，寻找渠道、集成、生态合作或行业客户机会。 关系依据：公开资料出现神州数码与浪潮信息围绕 AI 一体机或相关解决方案协同的线索，可作为公开合作/方案协同关系入图。,半导体生态协同解决方案,半导体生态伙伴拓展战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,潜力客户,DC-003;DC-M002;E3-664;E3-665;E3-666;E3-667;E3-668;E3-669;E3-670;E3-671;E3-672;E3-673;E3-674;E3-836,medium,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::浪潮信息::AI GPU,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2023-03-29;2024-03-01;2025-01-25;2025-02-19;2026-02-11;2026-03-11;2026-05-11;2026-05-30;2026-06-17,2026-07-05;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-003,A:2;B:8;B-:4,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::华为::通信设备,华为,通信设备,L4-DOWNSTREAM-ICT-DEVICE,消费电子/通信设备,华为-通信设备业务机会,客户/伙伴/生态机会,围绕网络设备、通信设备和企业ICT集成形成基础设施升级方案。 关系依据：公开资料显示神州数码围绕华为鲲鹏、昇腾、国产算力和解决方案生态存在业务关联线索；该关系可作为公开生态合作事实入图，但不等同于内部客户关系。,企业ICT与数据中心网络解决方案,ICT基础设施升级战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,生态伙伴,DC-001;DC-M001;E3-687;E3-691;E3-693;E3-694;E3-709;E3-710;E3-711;E3-712;E3-713;E3-722;E3-725;E3-829;E3-847,high,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::华为::通信设备,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2026-01-03;2026-01-15;2026-02-09;2026-03-19;2026-03-26;2026-05-06;2026-05-13;2026-05-28,2026-07-05;2026-07-06;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-001,A:3;B:2;B-:10,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::华为::智能终端,华为,智能终端,L4-DOWNSTREAM-ICT-DEVICE,消费电子/通信设备,华为-智能终端业务机会,客户/伙伴/生态机会,围绕重点企业的产品/服务定位，寻找渠道、集成、生态合作或行业客户机会。 关系依据：公开资料显示神州数码围绕华为鲲鹏、昇腾、国产算力和解决方案生态存在业务关联线索；该关系可作为公开生态合作事实入图，但不等同于内部客户关系。,半导体生态协同解决方案,半导体生态伙伴拓展战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,生态伙伴,DC-001;DC-M001;E3-687;E3-691;E3-693;E3-694;E3-709;E3-710;E3-711;E3-712;E3-713;E3-722;E3-725;E3-829;E3-847,high,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::华为::智能终端,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2026-01-03;2026-01-15;2026-02-09;2026-03-19;2026-03-26;2026-05-06;2026-05-13;2026-05-28,2026-07-05;2026-07-06;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-001,A:3;B:2;B-:10,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::华为::国产算力服务器,华为,国产算力服务器,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,华为-国产算力服务器业务机会,客户/伙伴/生态机会,围绕AI服务器、液冷、存储、网络和云基础设施形成组合方案，优先寻找算力建设和数据中心升级机会。 关系依据：公开资料显示神州数码围绕华为鲲鹏、昇腾、国产算力和解决方案生态存在业务关联线索；该关系可作为公开生态合作事实入图，但不等同于内部客户关系。,国产算力与AI基础设施解决方案,AI基础设施重点客户战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,生态伙伴,DC-001;DC-M001;E3-687;E3-691;E3-693;E3-694;E3-709;E3-710;E3-711;E3-712;E3-713;E3-722;E3-725;E3-829;E3-847,high,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::华为::国产算力服务器,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2026-01-03;2026-01-15;2026-02-09;2026-03-19;2026-03-26;2026-05-06;2026-05-13;2026-05-28,2026-07-05;2026-07-06;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-001,A:3;B:2;B-:10,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::华为::运营商网络设备,华为,运营商网络设备,L4-DOWNSTREAM-TELECOM-NETWORK-INFRA,通信网络基础设施,华为-运营商网络设备业务机会,客户/伙伴/生态机会,围绕重点企业的产品/服务定位，寻找渠道、集成、生态合作或行业客户机会。 关系依据：公开资料显示神州数码围绕华为鲲鹏、昇腾、国产算力和解决方案生态存在业务关联线索；该关系可作为公开生态合作事实入图，但不等同于内部客户关系。,半导体生态协同解决方案,半导体生态伙伴拓展战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,生态伙伴,DC-001;DC-M001;E3-687;E3-691;E3-693;E3-694;E3-709;E3-710;E3-711;E3-712;E3-713;E3-722;E3-725;E3-829;E3-847,high,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::华为::运营商网络设备,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2026-01-03;2026-01-15;2026-02-09;2026-03-19;2026-03-26;2026-05-06;2026-05-13;2026-05-28,2026-07-05;2026-07-06;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-001,A:3;B:2;B-:10,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
OP::华为::基站/核心网设备,华为,基站/核心网设备,L4-DOWNSTREAM-TELECOM-NETWORK-INFRA,通信网络基础设施,华为-基站/核心网设备业务机会,客户/伙伴/生态机会,围绕重点企业的产品/服务定位，寻找渠道、集成、生态合作或行业客户机会。 关系依据：公开资料显示神州数码围绕华为鲲鹏、昇腾、国产算力和解决方案生态存在业务关联线索；该关系可作为公开生态合作事实入图，但不等同于内部客户关系。,半导体生态协同解决方案,半导体生态伙伴拓展战役,通过软硬件组合、集成服务、生态适配和行业方案包装提升项目毛利，而不是只做单品转售。,生态伙伴,DC-001;DC-M001;E3-687;E3-691;E3-693;E3-694;E3-709;E3-710;E3-711;E3-712;E3-713;E3-722;E3-725;E3-829;E3-847,high,true,需要内部客户资产、销售线索或伙伴授权数据进一步确认。,stage8::OP::华为::基站/核心网设备,2026-07-08,2026-07-08,2026-07-08,,,,unknown,检索快照,2026-01-03;2026-01-15;2026-02-09;2026-03-19;2026-03-26;2026-05-06;2026-05-13;2026-05-28,2026-07-05;2026-07-06;2026-07-07;2026-07-08,需要内部验证,候选分析,DC-001,A:3;B:2;B-:10,公开资料检索,2026-10-08,公开资料不足以证明内部客户或当前交易关系，需要内部销售/客户数据确认。
