product_service_id,product_service_name,category,l4_code,l4_name,definition,is_controlled
PS::L4-UPSTREAM-EDA软件::EDA全流程平台,EDA全流程平台,软件/EDA,L4-UPSTREAM-EDA软件,EDA软件,EDA软件相关的EDA全流程平台产品/服务。,true
PS::L4-UPSTREAM-EDA软件::模拟设计EDA工具,模拟设计EDA工具,软件/EDA,L4-UPSTREAM-EDA软件,EDA软件,EDA软件相关的模拟设计EDA工具产品/服务。,true
PS::L4-UPSTREAM-EDA软件::数字设计EDA工具,数字设计EDA工具,软件/EDA,L4-UPSTREAM-EDA软件,EDA软件,EDA软件相关的数字设计EDA工具产品/服务。,true
PS::L4-UPSTREAM-EDA软件::制造/良率EDA工具,制造/良率EDA工具,软件/EDA,L4-UPSTREAM-EDA软件,EDA软件,EDA软件相关的制造/良率EDA工具产品/服务。,true
PS::L4-UPSTREAM-半导体IP-芯片定制::处理器IP核,处理器IP核,IP/服务,L4-UPSTREAM-半导体IP-芯片定制,半导体IP/芯片定制,半导体IP/芯片定制相关的处理器IP核产品/服务。,true
PS::L4-UPSTREAM-半导体IP-芯片定制::接口IP,接口IP,IP/服务,L4-UPSTREAM-半导体IP-芯片定制,半导体IP/芯片定制,半导体IP/芯片定制相关的接口IP产品/服务。,true
PS::L4-UPSTREAM-半导体IP-芯片定制::芯片定制服务,芯片定制服务,服务/设计,L4-UPSTREAM-半导体IP-芯片定制,半导体IP/芯片定制,半导体IP/芯片定制相关的芯片定制服务产品/服务。,true
PS::L4-MIDSTREAM-AI-COMPUTE-CHIP::AI GPU,AI GPU,芯片/算力,L4-MIDSTREAM-AI-COMPUTE-CHIP,AI/GPU/CPU算力芯片,AI/GPU/CPU算力芯片相关的AI GPU产品/服务。,true
PS::L4-MIDSTREAM-AI-COMPUTE-CHIP::AI加速卡,AI加速卡,硬件/板卡,L4-MIDSTREAM-AI-COMPUTE-CHIP,AI/GPU/CPU算力芯片,AI/GPU/CPU算力芯片相关的AI加速卡产品/服务。,true
PS::L4-MIDSTREAM-AI-COMPUTE-CHIP::CPU/DCU算力芯片,CPU/DCU算力芯片,芯片/算力,L4-MIDSTREAM-AI-COMPUTE-CHIP,AI/GPU/CPU算力芯片,AI/GPU/CPU算力芯片相关的CPU/DCU算力芯片产品/服务。,true
PS::L4-MIDSTREAM-AI-COMPUTE-CHIP::数据中心网络芯片,数据中心网络芯片,芯片/网络,L4-MIDSTREAM-AI-COMPUTE-CHIP,AI/GPU/CPU算力芯片,AI/GPU/CPU算力芯片相关的数据中心网络芯片产品/服务。,true
PS::L4-MIDSTREAM-MOBILE-SOC::移动SoC,移动SoC,芯片/终端,L4-MIDSTREAM-MOBILE-SOC,手机SoC/通信基带,手机SoC/通信基带相关的移动SoC产品/服务。,true
PS::L4-MIDSTREAM-MOBILE-SOC::通信基带芯片,通信基带芯片,芯片/通信,L4-MIDSTREAM-MOBILE-SOC,手机SoC/通信基带,手机SoC/通信基带相关的通信基带芯片产品/服务。,true
PS::L4-MIDSTREAM-MOBILE-SOC::射频前端芯片,射频前端芯片,芯片/RF,L4-MIDSTREAM-MOBILE-SOC,手机SoC/通信基带,手机SoC/通信基带相关的射频前端芯片产品/服务。,true
PS::L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR::模拟芯片,模拟芯片,芯片/模拟,L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR,模拟/RF/MCU/传感器,模拟/RF/MCU/传感器相关的模拟芯片产品/服务。,true
PS::L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR::RF芯片,RF芯片,芯片/RF,L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR,模拟/RF/MCU/传感器,模拟/RF/MCU/传感器相关的RF芯片产品/服务。,true
PS::L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR::MCU,MCU,芯片/控制,L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR,模拟/RF/MCU/传感器,模拟/RF/MCU/传感器相关的MCU产品/服务。,true
PS::L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR::图像传感器,图像传感器,芯片/传感器,L4-MIDSTREAM-ANALOG-RF-MCU-SENSOR,模拟/RF/MCU/传感器,模拟/RF/MCU/传感器相关的图像传感器产品/服务。,true
PS::L4-MIDSTREAM-晶圆代工-Foundry::先进制程代工,先进制程代工,服务/制造,L4-MIDSTREAM-晶圆代工-Foundry,晶圆代工/Foundry,晶圆代工/Foundry相关的先进制程代工产品/服务。,true
PS::L4-MIDSTREAM-晶圆代工-Foundry::成熟制程代工,成熟制程代工,服务/制造,L4-MIDSTREAM-晶圆代工-Foundry,晶圆代工/Foundry,晶圆代工/Foundry相关的成熟制程代工产品/服务。,true
PS::L4-MIDSTREAM-晶圆代工-Foundry::特色工艺代工,特色工艺代工,服务/制造,L4-MIDSTREAM-晶圆代工-Foundry,晶圆代工/Foundry,晶圆代工/Foundry相关的特色工艺代工产品/服务。,true
PS::L4-MIDSTREAM-IDM-特色工艺制造::功率/模拟IDM器件,功率/模拟IDM器件,器件/IDM,L4-MIDSTREAM-IDM-特色工艺制造,IDM/特色工艺制造,IDM/特色工艺制造相关的功率/模拟IDM器件产品/服务。,true
PS::L4-MIDSTREAM-IDM-特色工艺制造::车规半导体器件,车规半导体器件,器件/IDM,L4-MIDSTREAM-IDM-特色工艺制造,IDM/特色工艺制造,IDM/特色工艺制造相关的车规半导体器件产品/服务。,true
PS::L4-MIDSTREAM-IDM-特色工艺制造::特色工艺产线服务,特色工艺产线服务,服务/制造,L4-MIDSTREAM-IDM-特色工艺制造,IDM/特色工艺制造,IDM/特色工艺制造相关的特色工艺产线服务产品/服务。,true
PS::L4-UPSTREAM-光刻设备::光刻机,光刻机,设备/光刻,L4-UPSTREAM-光刻设备,光刻设备,光刻设备相关的光刻机产品/服务。,true
PS::L4-UPSTREAM-光刻设备::涂胶显影设备,涂胶显影设备,设备/光刻,L4-UPSTREAM-光刻设备,光刻设备,光刻设备相关的涂胶显影设备产品/服务。,true
PS::L4-UPSTREAM-刻蚀设备::等离子刻蚀设备,等离子刻蚀设备,设备/刻蚀,L4-UPSTREAM-刻蚀设备,刻蚀设备,刻蚀设备相关的等离子刻蚀设备产品/服务。,true
PS::L4-UPSTREAM-刻蚀设备::深硅刻蚀设备,深硅刻蚀设备,设备/刻蚀,L4-UPSTREAM-刻蚀设备,刻蚀设备,刻蚀设备相关的深硅刻蚀设备产品/服务。,true
PS::L4-UPSTREAM-薄膜沉积设备::CVD设备,CVD设备,设备/薄膜,L4-UPSTREAM-薄膜沉积设备,薄膜沉积设备,薄膜沉积设备相关的CVD设备产品/服务。,true
PS::L4-UPSTREAM-薄膜沉积设备::PVD设备,PVD设备,设备/薄膜,L4-UPSTREAM-薄膜沉积设备,薄膜沉积设备,薄膜沉积设备相关的PVD设备产品/服务。,true
PS::L4-UPSTREAM-薄膜沉积设备::ALD设备,ALD设备,设备/薄膜,L4-UPSTREAM-薄膜沉积设备,薄膜沉积设备,薄膜沉积设备相关的ALD设备产品/服务。,true
PS::L4-UPSTREAM-清洗-CMP-热处理设备::清洗设备,清洗设备,设备/清洗,L4-UPSTREAM-清洗-CMP-热处理设备,清洗/CMP/热处理设备,清洗/CMP/热处理设备相关的清洗设备产品/服务。,true
PS::L4-UPSTREAM-清洗-CMP-热处理设备::CMP抛光设备,CMP抛光设备,设备/CMP,L4-UPSTREAM-清洗-CMP-热处理设备,清洗/CMP/热处理设备,清洗/CMP/热处理设备相关的CMP抛光设备产品/服务。,true
PS::L4-UPSTREAM-清洗-CMP-热处理设备::热处理设备,热处理设备,设备/热处理,L4-UPSTREAM-清洗-CMP-热处理设备,清洗/CMP/热处理设备,清洗/CMP/热处理设备相关的热处理设备产品/服务。,true
PS::L4-UPSTREAM-量测检测设备::缺陷检测设备,缺陷检测设备,设备/检测,L4-UPSTREAM-量测检测设备,量测检测设备,量测检测设备相关的缺陷检测设备产品/服务。,true
PS::L4-UPSTREAM-量测检测设备::膜厚/CD量测设备,膜厚/CD量测设备,设备/量测,L4-UPSTREAM-量测检测设备,量测检测设备,量测检测设备相关的膜厚/CD量测设备产品/服务。,true
PS::L4-UPSTREAM-测试设备::SoC测试机,SoC测试机,设备/测试,L4-UPSTREAM-测试设备,测试设备,测试设备相关的SoC测试机产品/服务。,true
PS::L4-UPSTREAM-测试设备::存储测试机,存储测试机,设备/测试,L4-UPSTREAM-测试设备,测试设备,测试设备相关的存储测试机产品/服务。,true
PS::L4-UPSTREAM-测试设备::分选机/探针台,分选机/探针台,设备/测试,L4-UPSTREAM-测试设备,测试设备,测试设备相关的分选机/探针台产品/服务。,true
PS::L4-UPSTREAM-硅片::300mm硅片,300mm硅片,材料/硅片,L4-UPSTREAM-硅片,硅片,硅片相关的300mm硅片产品/服务。,true
PS::L4-UPSTREAM-硅片::200mm硅片,200mm硅片,材料/硅片,L4-UPSTREAM-硅片,硅片,硅片相关的200mm硅片产品/服务。,true
PS::L4-UPSTREAM-硅片::外延片,外延片,材料/硅片,L4-UPSTREAM-硅片,硅片,硅片相关的外延片产品/服务。,true
PS::L4-UPSTREAM-光刻胶-配套材料::光刻胶,光刻胶,材料/光刻胶,L4-UPSTREAM-光刻胶-配套材料,光刻胶/配套材料,光刻胶/配套材料相关的光刻胶产品/服务。,true
PS::L4-UPSTREAM-光刻胶-配套材料::显影液/配套化学品,显影液/配套化学品,材料/化学品,L4-UPSTREAM-光刻胶-配套材料,光刻胶/配套材料,光刻胶/配套材料相关的显影液/配套化学品产品/服务。,true
PS::L4-UPSTREAM-电子气体-湿电子化学品::电子特气,电子特气,材料/气体,L4-UPSTREAM-电子气体-湿电子化学品,电子气体/湿电子化学品,电子气体/湿电子化学品相关的电子特气产品/服务。,true
PS::L4-UPSTREAM-电子气体-湿电子化学品::湿电子化学品,湿电子化学品,材料/化学品,L4-UPSTREAM-电子气体-湿电子化学品,电子气体/湿电子化学品,电子气体/湿电子化学品相关的湿电子化学品产品/服务。,true
PS::L4-UPSTREAM-靶材::溅射靶材,溅射靶材,材料/靶材,L4-UPSTREAM-靶材,靶材,靶材相关的溅射靶材产品/服务。,true
PS::L4-UPSTREAM-靶材::高纯金属材料,高纯金属材料,材料/金属,L4-UPSTREAM-靶材,靶材,靶材相关的高纯金属材料产品/服务。,true
PS::L4-UPSTREAM-CMP材料::CMP抛光液,CMP抛光液,材料/CMP,L4-UPSTREAM-CMP材料,CMP材料,CMP材料相关的CMP抛光液产品/服务。,true
PS::L4-UPSTREAM-CMP材料::CMP抛光垫,CMP抛光垫,材料/CMP,L4-UPSTREAM-CMP材料,CMP材料,CMP材料相关的CMP抛光垫产品/服务。,true
PS::L4-UPSTREAM-封装材料-IC载板::ABF载板,ABF载板,材料/载板,L4-UPSTREAM-封装材料-IC载板,封装材料/IC载板,封装材料/IC载板相关的ABF载板产品/服务。,true
PS::L4-UPSTREAM-封装材料-IC载板::BT载板,BT载板,材料/载板,L4-UPSTREAM-封装材料-IC载板,封装材料/IC载板,封装材料/IC载板相关的BT载板产品/服务。,true
PS::L4-UPSTREAM-封装材料-IC载板::封装基板,封装基板,材料/载板,L4-UPSTREAM-封装材料-IC载板,封装材料/IC载板,封装材料/IC载板相关的封装基板产品/服务。,true
PS::L4-MIDSTREAM-ADVANCED-PACKAGING::先进封装服务,先进封装服务,服务/制造,L4-MIDSTREAM-ADVANCED-PACKAGING,2.5D/3D/Chiplet先进封装,2.5D/3D/Chiplet先进封装相关的先进封装服务产品/服务。,true
PS::L4-MIDSTREAM-ADVANCED-PACKAGING::2.5D封装,2.5D封装,服务/制造,L4-MIDSTREAM-ADVANCED-PACKAGING,2.5D/3D/Chiplet先进封装,2.5D/3D/Chiplet先进封装相关的2.5D封装产品/服务。,true
PS::L4-MIDSTREAM-ADVANCED-PACKAGING::3D封装,3D封装,服务/制造,L4-MIDSTREAM-ADVANCED-PACKAGING,2.5D/3D/Chiplet先进封装,2.5D/3D/Chiplet先进封装相关的3D封装产品/服务。,true
PS::L4-MIDSTREAM-ADVANCED-PACKAGING::Chiplet集成服务,Chiplet集成服务,服务/制造,L4-MIDSTREAM-ADVANCED-PACKAGING,2.5D/3D/Chiplet先进封装,2.5D/3D/Chiplet先进封装相关的Chiplet集成服务产品/服务。,true
PS::L4-MIDSTREAM-OSAT::封装测试服务,封装测试服务,服务/制造,L4-MIDSTREAM-OSAT,传统OSAT封装测试,传统OSAT封装测试相关的封装测试服务产品/服务。,true
PS::L4-MIDSTREAM-OSAT::晶圆级封装,晶圆级封装,服务/制造,L4-MIDSTREAM-OSAT,传统OSAT封装测试,传统OSAT封装测试相关的晶圆级封装产品/服务。,true
PS::L4-MIDSTREAM-OSAT::成品测试服务,成品测试服务,服务/测试,L4-MIDSTREAM-OSAT,传统OSAT封装测试,传统OSAT封装测试相关的成品测试服务产品/服务。,true
PS::L4-MIDSTREAM-DRAM-HBM::DRAM芯片,DRAM芯片,芯片/存储,L4-MIDSTREAM-DRAM-HBM,DRAM/HBM,DRAM/HBM相关的DRAM芯片产品/服务。,true
PS::L4-MIDSTREAM-DRAM-HBM::HBM高带宽存储,HBM高带宽存储,芯片/存储,L4-MIDSTREAM-DRAM-HBM,DRAM/HBM,DRAM/HBM相关的HBM高带宽存储产品/服务。,true
PS::L4-MIDSTREAM-NAND-Flash::NAND闪存芯片,NAND闪存芯片,芯片/存储,L4-MIDSTREAM-NAND-Flash,NAND Flash,NAND Flash相关的NAND闪存芯片产品/服务。,true
PS::L4-MIDSTREAM-NAND-Flash::3D NAND晶圆,3D NAND晶圆,芯片/存储,L4-MIDSTREAM-NAND-Flash,NAND Flash,NAND Flash相关的3D NAND晶圆产品/服务。,true
PS::L4-MIDSTREAM-存储控制-模组-NOR::NOR Flash,NOR Flash,芯片/存储,L4-MIDSTREAM-存储控制-模组-NOR,存储控制/模组/NOR,存储控制/模组/NOR相关的NOR Flash产品/服务。,true
PS::L4-MIDSTREAM-存储控制-模组-NOR::存储主控芯片,存储主控芯片,芯片/控制,L4-MIDSTREAM-存储控制-模组-NOR,存储控制/模组/NOR,存储控制/模组/NOR相关的存储主控芯片产品/服务。,true
PS::L4-MIDSTREAM-存储控制-模组-NOR::存储模组,存储模组,器件/模组,L4-MIDSTREAM-存储控制-模组-NOR,存储控制/模组/NOR,存储控制/模组/NOR相关的存储模组产品/服务。,true
PS::L4-MIDSTREAM-功率器件-模块::IGBT器件/模块,IGBT器件/模块,器件/功率,L4-MIDSTREAM-功率器件-模块,功率器件/模块,功率器件/模块相关的IGBT器件/模块产品/服务。,true
PS::L4-MIDSTREAM-功率器件-模块::MOSFET功率器件,MOSFET功率器件,器件/功率,L4-MIDSTREAM-功率器件-模块,功率器件/模块,功率器件/模块相关的MOSFET功率器件产品/服务。,true
PS::L4-MIDSTREAM-功率器件-模块::功率模块,功率模块,器件/功率,L4-MIDSTREAM-功率器件-模块,功率器件/模块,功率器件/模块相关的功率模块产品/服务。,true
PS::L4-MIDSTREAM-SiC衬底-外延::SiC衬底,SiC衬底,材料/SiC,L4-MIDSTREAM-SiC衬底-外延,SiC衬底/外延,SiC衬底/外延相关的SiC衬底产品/服务。,true
PS::L4-MIDSTREAM-SiC衬底-外延::SiC外延片,SiC外延片,材料/SiC,L4-MIDSTREAM-SiC衬底-外延,SiC衬底/外延,SiC衬底/外延相关的SiC外延片产品/服务。,true
PS::L4-MIDSTREAM-SiC功率器件-模块::SiC MOSFET,SiC MOSFET,器件/SiC,L4-MIDSTREAM-SiC功率器件-模块,SiC功率器件/模块,SiC功率器件/模块相关的SiC MOSFET产品/服务。,true
PS::L4-MIDSTREAM-SiC功率器件-模块::SiC功率模块,SiC功率模块,器件/SiC,L4-MIDSTREAM-SiC功率器件-模块,SiC功率器件/模块,SiC功率器件/模块相关的SiC功率模块产品/服务。,true
PS::L4-MIDSTREAM-SiC功率器件-模块::SiC二极管,SiC二极管,器件/SiC,L4-MIDSTREAM-SiC功率器件-模块,SiC功率器件/模块,SiC功率器件/模块相关的SiC二极管产品/服务。,true
PS::L4-MIDSTREAM-GaN功率-RF器件::GaN功率器件,GaN功率器件,器件/GaN,L4-MIDSTREAM-GaN功率-RF器件,GaN功率/RF器件,GaN功率/RF器件相关的GaN功率器件产品/服务。,true
PS::L4-MIDSTREAM-GaN功率-RF器件::GaN射频器件,GaN射频器件,器件/GaN,L4-MIDSTREAM-GaN功率-RF器件,GaN功率/RF器件,GaN功率/RF器件相关的GaN射频器件产品/服务。,true
PS::L4-DOWNSTREAM-AI-INFRA::AI服务器,AI服务器,硬件/整机,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,AI服务器/云基础设施相关的AI服务器产品/服务。,true
PS::L4-DOWNSTREAM-AI-INFRA::GPU服务器,GPU服务器,硬件/整机,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,AI服务器/云基础设施相关的GPU服务器产品/服务。,true
PS::L4-DOWNSTREAM-AI-INFRA::液冷服务器,液冷服务器,硬件/整机,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,AI服务器/云基础设施相关的液冷服务器产品/服务。,true
PS::L4-DOWNSTREAM-AI-INFRA::存储设备,存储设备,硬件/基础设施,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,AI服务器/云基础设施相关的存储设备产品/服务。,true
PS::L4-DOWNSTREAM-AI-INFRA::数据中心交换机,数据中心交换机,网络/基础设施,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,AI服务器/云基础设施相关的数据中心交换机产品/服务。,true
PS::L4-DOWNSTREAM-AI-INFRA::数据中心基础设施服务,数据中心基础设施服务,服务/集成,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,AI服务器/云基础设施相关的数据中心基础设施服务产品/服务。,true
PS::L4-DOWNSTREAM-AI-INFRA::国产算力服务器,国产算力服务器,硬件/整机,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,AI服务器/云基础设施相关的国产算力服务器产品/服务。,true
PS::L4-DOWNSTREAM-AI-INFRA::云基础设施服务,云基础设施服务,服务/云,L4-DOWNSTREAM-AI-INFRA,AI服务器/云基础设施,AI服务器/云基础设施相关的云基础设施服务产品/服务。,true
PS::L4-DOWNSTREAM-AUTO-ELECTRONICS::智能汽车解决方案,智能汽车解决方案,服务/集成,L4-DOWNSTREAM-AUTO-ELECTRONICS,新能源汽车/汽车电子,新能源汽车/汽车电子相关的智能汽车解决方案产品/服务。,true
PS::L4-DOWNSTREAM-AUTO-ELECTRONICS::车载计算平台,车载计算平台,硬件/计算,L4-DOWNSTREAM-AUTO-ELECTRONICS,新能源汽车/汽车电子,新能源汽车/汽车电子相关的车载计算平台产品/服务。,true
PS::L4-DOWNSTREAM-AUTO-ELECTRONICS::汽车电子系统,汽车电子系统,硬件/汽车电子,L4-DOWNSTREAM-AUTO-ELECTRONICS,新能源汽车/汽车电子,新能源汽车/汽车电子相关的汽车电子系统产品/服务。,true
PS::L4-DOWNSTREAM-AUTO-ELECTRONICS::功率半导体模块,功率半导体模块,器件/功率,L4-DOWNSTREAM-AUTO-ELECTRONICS,新能源汽车/汽车电子,新能源汽车/汽车电子相关的功率半导体模块产品/服务。,true
PS::L4-DOWNSTREAM-ICT-DEVICE::通信设备,通信设备,硬件/网络,L4-DOWNSTREAM-ICT-DEVICE,消费电子/通信设备,消费电子/通信设备相关的通信设备产品/服务。,true
PS::L4-DOWNSTREAM-ICT-DEVICE::网络设备,网络设备,硬件/网络,L4-DOWNSTREAM-ICT-DEVICE,消费电子/通信设备,消费电子/通信设备相关的网络设备产品/服务。,true
PS::L4-DOWNSTREAM-ICT-DEVICE::企业级ICT解决方案,企业级ICT解决方案,服务/集成,L4-DOWNSTREAM-ICT-DEVICE,消费电子/通信设备,消费电子/通信设备相关的企业级ICT解决方案产品/服务。,true
PS::L4-DOWNSTREAM-ICT-DEVICE::智能终端,智能终端,硬件/终端,L4-DOWNSTREAM-ICT-DEVICE,消费电子/通信设备,消费电子/通信设备相关的智能终端产品/服务。,true
PS::L4-DOWNSTREAM-CLOUD-INTERNET-PLATFORM::公有云服务,公有云服务,服务/云,L4-DOWNSTREAM-CLOUD-INTERNET-PLATFORM,云服务/互联网平台,云服务/互联网平台相关的公有云服务产品/服务。,true
PS::L4-DOWNSTREAM-CLOUD-INTERNET-PLATFORM::AI云平台,AI云平台,服务/AI平台,L4-DOWNSTREAM-CLOUD-INTERNET-PLATFORM,云服务/互联网平台,云服务/互联网平台相关的AI云平台产品/服务。,true
PS::L4-DOWNSTREAM-CLOUD-INTERNET-PLATFORM::互联网数据中心需求,互联网数据中心需求,需求/数据中心,L4-DOWNSTREAM-CLOUD-INTERNET-PLATFORM,云服务/互联网平台,云服务/互联网平台相关的互联网数据中心需求产品/服务。,true
PS::L4-DOWNSTREAM-TELECOM-NETWORK-INFRA::运营商网络设备,运营商网络设备,硬件/通信网络,L4-DOWNSTREAM-TELECOM-NETWORK-INFRA,通信网络基础设施,通信网络基础设施相关的运营商网络设备产品/服务。,true
PS::L4-DOWNSTREAM-TELECOM-NETWORK-INFRA::基站/核心网设备,基站/核心网设备,硬件/通信网络,L4-DOWNSTREAM-TELECOM-NETWORK-INFRA,通信网络基础设施,通信网络基础设施相关的基站/核心网设备产品/服务。,true
PS::L4-DOWNSTREAM-TELECOM-NETWORK-INFRA::数据中心网络方案,数据中心网络方案,方案/网络,L4-DOWNSTREAM-TELECOM-NETWORK-INFRA,通信网络基础设施,通信网络基础设施相关的数据中心网络方案产品/服务。,true
PS::L4-DOWNSTREAM-SMART-DEVICE-PC::PC整机,PC整机,硬件/终端,L4-DOWNSTREAM-SMART-DEVICE-PC,智能终端/PC,智能终端/PC相关的PC整机产品/服务。,true
PS::L4-DOWNSTREAM-SMART-DEVICE-PC::手机/平板终端,手机/平板终端,硬件/终端,L4-DOWNSTREAM-SMART-DEVICE-PC,智能终端/PC,智能终端/PC相关的手机/平板终端产品/服务。,true
PS::L4-DOWNSTREAM-SMART-DEVICE-PC::AI终端设备,AI终端设备,硬件/AI终端,L4-DOWNSTREAM-SMART-DEVICE-PC,智能终端/PC,智能终端/PC相关的AI终端设备产品/服务。,true
