segment_name,parent_segment,value_chain_role,profit_pool_hint,capex_hint,evidence_ids,confidence
EDA/IP,设计基础设施,提供芯片设计软件、验证工具和可复用 IP，是设计效率与先进制程协同的前置能力。,软件/IP 模式、毛利率通常较高，但全球集中度高；中国侧国产替代诉求强。,直接吸收资本开支较低，主要吸收研发投入与生态投入。,E1-004;E1-005;E1-006;E1-011;E1-012,medium
芯片设计/Fabless,设计与产品定义,定义 SoC、GPU、存储控制、模拟、功率器件等产品，连接下游应用需求与制造资源。,AI 加速器、HBM 相关控制与高端模拟等产品可能形成高价值量；盈利差异极大。,轻资产为主，资本开支低于制造端，研发和流片成本高。,E1-001;E1-006;E1-008,medium
晶圆制造/Foundry-IDM,制造,将设计转化为晶圆，包括先进制程、成熟制程、特色工艺、存储和功率器件制造。,价值量大但周期性强；先进制程和特色工艺收益结构差异明显。,资本开支最集中，直接驱动设备、材料、厂务和先进封装需求。,E1-001;E1-003;E1-011;E1-012;E1-014,high
半导体设备,制造支撑,覆盖光刻、刻蚀、薄膜沉积、离子注入、量测检测、清洗、热处理等制造设备。,随晶圆厂扩产和先进制程复杂度提升获得高价值量；核心设备壁垒高。,显著受益于晶圆厂资本开支，国产替代和供应链安全属性强。,E1-001;E1-005;E1-012;E1-028,high
半导体材料,制造支撑,覆盖硅片、光刻胶、电子气体、靶材、CMP 材料、湿电子化学品、封装材料等。,部分高端材料具备高壁垒和稳定耗材属性，但不同材料利润率差异大。,受晶圆制造产能利用率和扩产拉动；国产替代诉求较强。,E1-001;E1-005;E1-012,medium
先进封装,封装测试,通过 2.5D/3D、CoWoS、Chiplet、Fan-out 等技术提升算力芯片和存储系统性能。,AI、HBM 与 Chiplet 推动先进封装价值量上升，产能约束可能提升议价能力。,承接算力芯片与 HBM 产业资本开支，设备、载板和封装材料同步受益。,E1-007;E1-008;E1-009;E1-010;E1-011,high
传统封装测试/OSAT,封装测试,提供封装、测试与后段制造服务，连接晶圆制造和终端模组/系统。,传统封测竞争更充分，利润率通常低于高端设备、EDA/IP 和先进封装。,资本开支中等，受终端周期、先进封装升级和区域供应链布局影响。,E1-001;E1-011,medium
存储/HBM,产品与制造,覆盖 DRAM、NAND、HBM 等存储产品，受 AI 服务器和存储周期共同驱动。,HBM 价值量和增长确定性较强，传统 DRAM/NAND 周期波动大。,HBM 产能扩张带动晶圆、先进封装、测试和材料设备投入。,E1-002;E1-004;E1-007;E1-022;E1-026,medium
功率半导体/SiC-GaN,特色器件,服务新能源汽车、光伏储能、工业电源、快充和射频等应用。,SiC/GaN 在高压高频场景增长较快，但价格、良率和下游节奏影响利润。,吸收衬底、外延、器件制造和封测资本开支。,E1-001;E1-017,medium
终端应用/系统需求,下游需求,包括 AI 服务器、汽车电子、工业、消费电子、通信和云基础设施等需求来源。,不直接代表半导体利润池，但决定上游周期、产品组合和资本开支方向。,AI 服务器和新能源车等需求间接驱动制造、封装、设备和材料投资。,E1-011;E1-013;E1-015;E1-016;E1-017,high
